Date,Zodiak,Horoscope
14.07.2016,Козерог,"
Козерогам сегодня лучше не взваливать на свои плечи ответственность за долговременные проекты и масштабные задачи. Сегодня ваш конек - это небольшие дела, которые можно решить легко и быстро, не прибегая к сложным планам. Огромное удовольствие вам доставит общение с друзьями и единомышленниками.
"
15.07.2016,Козерог,"
Козероги в этот день будут испытывать небольшие проблемы материального характера. Несмотря на то, что ничего катастрофического эти проблемы вам не обещают, вы сосредоточите все силы на том, чтобы исправить ситуацию. не стоит распыляться на ненужные мелочи и необязательные занятия - сосредоточьтесь только на том, что поможет вам достигнуть главной цели.
"
16.07.2016,Козерог,"
Козероги сегодня будут постоянно получать сигналы от своего организма, демонстрирующие его реакцию на ваши поступки. Прислушайтесь к ним, и при необходимости, посетите врача. В этот день на ваше поведение и настроение будут влиять не столько внешние факторы, сколько внутренняя гармония и отношения с самыми близкими людьми.
"
17.07.2016,Козерог,"
Козерогам в этот день с утра смогут доверять абсолютно все родные и близкие люди. Если в первой половине дня вы не обманете их ожиданий, то вечером на смену ответственности и обязательности придет желание ввязаться в какую-нибудь авантюру. Попробуйте удержать себя от участия в рискованных мероприятиях, иначе последствия будут непредсказуемыми.
"
18.07.2016,Козерог,"
Финансовое положение Козерогов сегодня будет напрямую зависеть от того, насколько крепки и прочны их связи с окружающими людьми. В этот день вы сможете без труда добывать нужную информацию, и заключать выгодные сделки. Необдуманная трата денег может нанести брешь по вашему бюджету.
"
19.07.2016,Козерог,"
Козерогам в этот день стоит более осторожно и осмотрительно подходить к разработке планов и проектов - одна-единственная ошибка может стоить вам карьеры. Внимательно отнеситесь к покупкам в магазине - существует риск обмана или приобретения некачественного товара.
"
20.07.2016,Козерог,"
Водолеям в этот день следует ограничить круг деловых контактов до минимума, так как пришла пора отдохнуть и расслабиться. Погуляйте с детьми, проведите время с друзьями, и забудьте на время о работе и бизнесе. Если вы сильно устаете, то это повод немного пересмотреть свой режим.
"
21.07.2016,Козерог,"
Козероги в этот день станут придерживаться принципа умеренности во всем, начиная от еды, и заканчивая денежными расходами. Инициатива полезная, но все же чрезмерно таким самоограничением лучше не увлекаться. Сегодня очень удачный период для общения с близкими родственниками, так что не забудьте их навестить.
"
22.07.2016,Козерог,"
Козерогов с самого утра начнут посещать простые и гениальные идеи по поводу улучшения быта в своем доме. Если вы уверены в том, что ваши планы понравятся всем членам семьи, то можете смело приступать к их осуществлению. В крайнем случае, всегда можно собрать общий семейный совет и узнать мнение домочадцев. Совместный труд объединяет, а потому не стесняйтесь привлекать к работе по обустройству быта всех членов своей семьи.
"
23.07.2016,Козерог,"
В этот день Козероги смогут наладить отношения со своими близкими людьми, вызвать их на откровенный разговор и найти компромисс, который примирит обе стороны. Сейчас удачное время для украшения своего жилища, так как вы способны проявить настоящий дизайнерский талант и создать неповторимый интерьер.
"
24.07.2016,Козерог,"
У Козерогов сегодня будет крайне тяжелый финансовый период. Не исключена возможность возникновения необходимости срочных материальных затрат, а родственники, к которым вы обратитесь за помощью, ответят вам агрессией и грубостью. Впрочем, вы все равно найдете выход из ситуации, зато впоследствии будете знать, к кому не стоит обращаться в критическом положении.
"
25.07.2016,Козерог,"
Козероги сегодня способны прекрасно сдерживать свои эмоции, что, впрочем, может не понравиться вашей второй половине, которой покажется, что вы стали слишком холодны и отстраненны. Постарайтесь убедить ее в том, что любите по-прежнему, и тогда в ваших отношениях вновь воцарится мир и покой.
"
26.07.2016,Козерог,"
Козерогов в начале дня вряд ли ожидает прилив энергии и жизненной активности, а потому не торопитесь включаться в работу. В первой половине дня необходимо по возможности завершить все текущие дела, и только потом приниматься за что-то новое. После полудня вы с удовольствием включитесь в привычную повседневную деятельность. Сегодня подходящий день для того чтобы заняться закаливанием, укреплением своего здоровья.
"
27.07.2016,Козерог,"
Козерогам в этот день необходимо использовать все возможности для того чтобы приобрести как можно больше полезных связей. Сегодня возможно установление дружеских или приятельских отношений с начальником, который не откажется в случае чего, и похлопотать за вас. В этот день чувствуется хорошее расположение к вам коллег.
"
28.07.2016,Козерог,"
Миролюбивым Козерогам, желающим работать над совместным проектом с симпатичным человеком, лучше не залеживаться с утра в постели, иначе ваши планы могут грубым образом нарушить. Если же вы уже давно работаете с напарником, то сегодня существует возможность его замены. Смириться с новым товарищем вам будет непросто, но в итоге вы даже сможете найти общий язык.
"
29.07.2016,Козерог,"
Козерогу и его партнеру сегодня будет значительно легче договориться и понять друг друга в том случае, если определенные рамки и допустимые границы поведения были установлены заранее. Если же ни о чем подобном вы не договаривались, то остается только искать допустимый компромисс.
"
30.07.2016,Козерог,"
Начинать новые свершения Козерогам сегодня точно не стоит, зато не мешало бы завершить все старые дела. Сегодня вы будете пытаться отстоять свое мнение по любому поводу, и в итоге вашей второй половинке это может надоесть. Держите свои чувства под контролем, и не позволяйте себе выплескивать их на партнера.
"
31.07.2016,Козерог,"
Козероги на протяжении всего дня будут ощущать прилив энергии, однако, куда ее приложить, они так и не придумают. Попробуйте заняться облагораживанием своего дома или участка, а также подумайте над дополнительными возможностями заработка. Заводить новые контакты сегодня вам не стоит - существует риск нарваться на подлого и двуличного человека.
"
1.08.2016,Козерог,"
сегодня  Козерогам стоит проявить инициативу и перетянуть всю ответственность на себя, если, конечно, вы хотите, чтобы ваши планы осуществились в полной мере. И неважно, чего это касается  работы, семьи или чего-то еще. С самого начала возможен небольшой ступор, но это ни в коем случае не должно стать препятствием для вас. 
"
2.08.2016,Козерог,"
В начале дня все дороги открыты для Козерогов  вы можете учиться, путешествовать, совершенствоваться, все у вас будет получаться легко и непринуждённо. Сегодня вы примете несколько важных решений, и они будут действительно верными. Во второй половине дня стоит держать под контролем семейное спокойствие, которое может быть с легкостью нарушено.
"
3.08.2016,Козерог,"
Звезды советуют Козерогам сегодня  не ограничивать себя в необходимых вещах. Возможно, чтобы стабилизировать свое финансовое положение, вам придется слегка урезать свои расходы, но это можно делать не сегодня. Оправданными в этот день будут такие качества, как скрупулезность, дотошность и умение не упускать мелочи из виду.
"
4.08.2016,Козерог,"
День принесет Козерогам много неожиданностей, есть вероятность получить непредсказуемое известие. В любовном плане вам захочется новых ощущений и неизведанных желаний, поэтому не исключены некоторые изменения, перед которыми следует тщательно подумать и все взвесить. Небольшие препятствия или элементарные сомнения могут нарушить ваши планы, и заставить вас отложить сей шаг.
"
5.08.2016,Козерог,"
Если Козероги задумали обновить интерьер в доме или квартире - сегодня самый подходящий день!  Не скупитесь, дорогие покупки оправдают себя. Если у вас возникают какие-либо проблемы - не начинайте сразу паниковать, у вас есть родные и близкие, которые с радостью помогут вам справиться со всеми неприятностями. Перестановка в доме определенно поможет вам отдохнуть от накопившихся дел. Есть вероятность устроить и личную жизнь.
"
6.08.2016,Козерог,"
День сегодня  пройдет у Козерогов в разногласиях с конкурентами, но не реагируйте на происходящее слишком сильно, это не поможет вам. Учтите, что не только мнение одного человека верно, ведь все люди уникальны. Утро дастся вам тяжело, но к вечеру напряжение трудного дня отступит, и вы начнете относиться ко всему более миролюбиво. 
"
7.08.2016,Козерог,"
В этот день Козерогам не рекомендуется браться за дела, которые требуют максимальной точности и сосредоточенности, например задачи на логику, точные подсчеты. Без крайней необходимости лучше не вести деловые переговоры и не назначать официальных встреч, они сегодня могут пойти не по вашему сценарию и нарушить ваши планы. 
"
8.08.2016,Козерог,"
Сегодня у Козерогов все должно быть под контролем, в ином случае могут возникнуть проблемы в профессиональной сфере, ссоры с друзьями. Вам следует настроиться на положительный лад с самого утра и пытаться быть позитивными на протяжении всего дня. Не будьте слишком резкими или грубыми с любимым человеком, это может оскорбить его чувства. 
"
9.08.2016,Козерог,"
Козероги сегодня генерируют замечательные идеи, которыми всерьез заинтересуются коллеги. Попробуйте себя в новом виде деятельности, у вас обязательно все получится, но не стоит выбирать финансовую сферу, там вам успеха не добиться. День отлично подходит для общения с животными, пушистые друзья зарядят вас позитивом на весь день.
"
1.10.2016,Козерог,"
Сегодня Козерогам предстоит мучительно искать компромисс между делами семьи и работой. Вы блестяще справитесь с этой задачей, если заблаговременно заручитесь поддержкой своих сослуживцев.
"
2.10.2016,Козерог,"
Козерогам сегодня не стоит поддаваться спешке и суете. Работа, которую вы будете выполнять, требует серьёзного и основательного подхода. Только поздним вечером вы сможете облегчённо вздохнуть и дать наконец себе право на отдых.
"
3.10.2016,Козерог,"
В этот день Козероги смогут решить массу практических задач, если отнесутся к ним с определённой долей творчества. Не бойтесь просить помощи у своих коллег. Все свои новаторские идеи оформите документально и предложите на рассмотрение руководству.
"
4.10.2016,Козерог,"
Козероги посвятят свой выходной помощи младшему коллеге. Родные будут недовольны вашим отсутствием в домашних стенах, а потому вечером вас ожидает скандал и громкие выяснения отношений.
"
5.10.2016,Козерог,"
Козероги к концу сегодняшнего дня окажутся в полной власти тоски и уныния. Осенняя слякоть за окном начнёт вас сильно раздражать, но ещё большее недовольство у вас вызовет необходимость выполнять многочисленные дела по дому.
"
6.10.2016,Козерог,"
Настроение Козерогов в первой половине дня поспособствует продуктивной работе. После полудня вам не захочется особо усердствовать в делах. Не исключено, что последние служебные часы вы предадитесь откровенному безделью.
"
7.10.2016,Козерог,"
Козерогам сегодня предстоит в корне пересмотреть условия своего давнего сотрудничества. Вначале компрометирующая информация о партнёрах будет воспринята вами в штыки, вслед за чем вы усиленно займётесь поисками выхода из создавшейся ситуации.
"
8.10.2016,Козерог,"
Козерогам лучше всего в этот день воздержаться от необоснованной критики в адрес коллег по работе. Любое замечание, сказанное вам безо всякого злого умысла, может быть истолковано как начало открытого противоборства.
"
9.10.2016,Козерог,"
Козероги станут инициаторами всевозможных авантюр и рискованных проектов. Идея, которая возникнет у вас с самого утра, уже во второй половине дня найдёт много союзников. Прежде, чем осуществлять этот безумный проект, трезво оцените свои реальные возможности.
"
1.11.2016,Козерог,"
Утро этого дня обманет Козерогов своим видимым спокойствием. Ближе к полудню вам станет очевидно, что неопределённость, суета и море непредсказуемых событий - вот что вместо отдыха ожидает вас в этот день.
"
2.11.2016,Козерог,"
Для Козерогов станет одним из самых обычных дней, когда хочется сделать многое, а сил хватает лишь на выполнение своих повседневных обязанностей. Не корите себя, даже если сегодня вы вообще откажетесь подниматься с дивана. 
"
3.11.2016,Козерог,"
В общении с любимым человеком сегодня Козероги будут на удивление милы и тактичны. Зато очень не поздоровится вашим коллегам, которых вы на протяжении целого дня будете ""съедать"" циничными фразами и язвительными насмешками.
"
4.11.2016,Козерог,"
Козерогам сегодня суждено обрести долгожданный мир в отношениях со второй половинкой. Однако, скандал, вспыхнувший несколько дней назад, оставит неприятный осадок и у вас, и у любимого человека.
"
5.11.2016,Козерог,"
Козероги пристально задумаются о своём ближайшем будущем. В преддверье новогодних торжеств вам необходимо ещё многое успеть и, конечно, верно распорядиться ближайшей зарплатой.
"
6.11.2016,Козерог,"
С самого раннего утра Козероги почувствуют небывалый эмоциональный подъём. Доброжелательная улыбка, которую вы не будете снимать вплоть до позднего вечера, станет для вас главным козырем и в общении с начальством, и в процессе сложного разговора со своей второй половинкой.
"
7.11.2016,Козерог,"
Козерогам сегодня можно смело рисковать и вступать в различного рода авантюры. Ваша смелость станет пропуском к тем из благ, которые очень долго казались вам заоблачными мечтами.
"
8.11.2016,Козерог,"
Козерогам в этот день удастся отлично расслабиться, вдоволь выспаться и осуществить многие из своих планов на отдых. Единственное, что может испортить вам настроение - мелкий конфликт со второй половинкой, вспыхнувший на почве бытовых разногласий.
"
9.11.2016,Козерог,"
Козерогам следует призвать на помощь всю свою природную дипломатию. Ситуация, которая возникнет сегодня в ваших домашних стенах, может превратиться в очередной громкий конфликт, если вы не проявите мягкость и готовность идти на уступки.
"
10.11.2016,Козерог,"
Сегодняшний день станет для Козерогов пропуском в мир финансовой стабильности и процветания. Вам удастся добиться расположения очень перспективных партнёров, благодаря чему ваш бизнес выйдет на новый этап своего развития.
"
11.11.2016,Козерог,"
Козерогов сегодняшний день научит считаться с мнением окружающих. Ваш отказ последовать желанию служебного коллектива спровоцирует настоящий ""бунт"" со стороны коллег. Чтобы избежать дальнейших конфликтов, вам всё-таки придётся пойти на уступки. 
"
12.11.2016,Козерог,"
Сегодня Козероги окажутся на пороге крупных жизненных перемен. Известие о смене вышестоящего руководства вызовет у вас и страх, и раздражение. Чтобы не лишиться занимаемой должности, вам следует без промедлений искать пути выхода из этого кризиса.
"
13.11.2016,Козерог,"
Козероги сегодня постараются изолироваться от окружающих. Вам действительно лучше в одиночку вести недавно начатый проект, ведь именно так вы сможете добиться большого успеха и присвоить себе все лавры победителя.
"
14.11.2016,Козерог,"
Козероги сегодня почувствуют острую потребность в наличии рядом единомышленников. В поисках подходящего собеседника вы обзвоните всех друзей, а затем с головой погрузитесь в интернет-переписку.
"
15.11.2016,Козерог,"
Сегодня Козерогам не стоит с головой погружаться в азартные игры. Вы рискуете быстро переступить черту между осторожностью и жаждой лёгкой наживы. Если вы не примите к сведению этот совет, в последствии вам придётся с огромным трудом перекрывать брешь, образовавшуюся в своём бюджете.
"
16.11.2016,Козерог,"
Козерогам не желательно браться за что-либо ответственное или серьёзное. С самого раннего утра вами овладеет очень весёлый и легкомысленный эмоциональный настрой. В таком состоянии самое правильное для вас - отказаться от дел и отправиться в гости.
"
17.11.2016,Козерог,"
Козероги сегодня предпримут первые шаги на пути к новой жизни. Если вы давно задумались, что ваш нынешний роман себя исчерпал, в этот день вам удастся озвучить свою позицию любимому человеку без каких-либо драм и волнений.
"
18.11.2016,Козерог,"
У Козерогов  единственной неприятностью станет поломка компьютера или другой электроники. Решив, что ремонт - это не ваша стезя, вы будете мирно болтать с коллегами, дожидаясь приезда специалистов.
"
19.11.2016,Козерог,"
Козероги посвятят этот день мучительным поискам истины. Вы захотите узнать, почему ваша вторая половинка так поздно возвращается домой и почему на ваши звонки телефон любимого человека отвечает ""абонент недоступен"".
"
20.11.2016,Козерог,"
Главной ошибкой Козерогов сегодня станет неверно подобранный имидж. После того, как вы появитесь на важном совещании в немыслимом пиджаке или с нелепой причёской, вам придётся долго и упорно восстанавливать свою репутацию серьёзного бизнесмена.
"
21.11.2016,Козерог,"
В эту пятницу Козероги полностью сосредоточатся на делах и забудут про предстоящие выходные. Вас не сможет отвлечь от работы даже телефонный звонок с предложением пораньше вернуться домой, чтобы затем посетить дружескую вечеринку.
"
22.11.2016,Козерог,"
Козерогам в этот день не следует игнорировать советы, полученные от старших членов семьи. Попробуйте прислушаться к мнению мудрых родственников и откройте накопительный счёт вместо того, чтобы бездумно спускать свои деньги.
"
23.11.2016,Козерог,"
Козероги сегодня погрузятся в пучину внутренних страстей и переживаний. Осенняя депрессия заставит вас грустить и по поводу карьерных неудач, и по поводу упущенной возможности построить счастливые личные отношения. 
"
24.11.2016,Козерог,"
Козерогам сегодня придётся сказать категоричное ""нет"" многим давним привычкам. Новое руководство не потерпит ни бестолковую болтовню между коллегами, ни слишком длинный обед, ни другие мероприятия, мешающие нормальной работе.
"
25.11.2016,Козерог,"
Козерогам сегодня много проблем доставит состояние своего здоровья. Вы захотите проигнорировать лёгкую простуду и примитесь за дела, но уже скоро станет понятно, что вам несколько дней придётся провести в постели.
"
26.11.2016,Козерог,"
Сегодняшнему успеху Козерогов поспособствует умение находить общий язык с самыми сложными собеседниками. Ваше красноречие поможет подписать важный контракт или заручиться поддержкой иностранных инвесторов.
"
27.11.2016,Козерог,"
Козероги сегодня медленно и планомерно будут делать шаги к своей давней мечте. С самого раннего утра вы погрузитесь в работу, но ваше трудолюбие может закончиться рядом проблем, если вы не дадите себе права на отдых.
"
28.11.2016,Козерог,"
Сегодня Козероги окажутся в числе самых незаменимых сотрудников. Не исключено, что вам придётся трудиться за целый отдел, пока ваши коллеги страдают от осенних простуд и недугов.
"
29.11.2016,Козерог,"
Козероги  проведут в активных поисках пищи для размышлений. Вы полистаете книгу, посмотрите фильм, а в конце дня решите, что лучшим источником вдохновенья для вас является отдых с друзьями.
"
30.11.2016,Козерог,"
Козероги  вплотную займутся насущными проблемами. Вы устраните все разногласия со второй половинкой, помиритесь с соседом, а вечером этого дня решите сосредоточиться на планировании своего бюджета.
"
1.12.2016,Козерог,"
Козерогам сегодня стоит побольше думать об окружающих, а не зацикливаться на себе. Вам удастся добиться значительно большего, если вы откажетесь от эгоизма и сделаете попытки установить тесное сотрудничество с кем-то из коллег.
"
2.12.2016,Козерог,"
Козерогам сегодня предстоит поставить точку в каком-то важном вопросе. Когда вы решите сообщить свою позицию противоположной стороне, пощадите чувства этого человека и донесите свою позицию, используя такт и дипломатию.
"
3.12.2016,Козерог,"
Козероги сегодня будут заняты попыткам всячески разнообразить свою жизнь. Однако, вам суждено добиться прямо противоположного результата. Вместо ярких эмоций и неизведанных ощущений вы обретёте ряд проблем, которые будут напоминать о себе ещё очень долго.
"
4.12.2016,Козерог,"
Козерогам сегодня предстоит заниматься монотонной бумажной работой. Чтобы хоть как-то скоротать этот день, вы периодически будете отвлекаться на разговоры с коллегами, что и станет для вас причиной мелких ошибок и просчётов. 
"
5.12.2016,Козерог,"
Козероги сегодня полностью отгородятся от коллег. Замысел, который вы так бережно вынашиваете в тайне ото всех, действительно способен стать причиной вашего карьерного взлёта. 
"
6.12.2016,Козерог,"
В эту субботу Козероги не смогут отвлечься от служебных дел. Важный проект, который вы планируете завершить в выходные, займёт всё ваше свободное время. Близким придётся смириться с тем, что вы только фактически находитесь дома.
"
7.12.2016,Козерог,"
Козероги посвятят это воскресенье методичной работе над ошибками в своём поведении. Вы попробуете отыскать истинные причины своих неудач и даже не постесняетесь провести небольшой ""соцопрос"" по данной теме среди родных и знакомых.
"
8.12.2016,Козерог,"
Козерогам на этот день желательно полностью отказаться от необоснованного риска. Если вы отвергнете этот совет и, последовав жажде лёгкой наживы, вложите свой капитал в сомнительную авантюру, то уже очень скоро окажетесь на грани банкротства.
"
9.12.2016,Козерог,"
Козероги испытают жуткое недовольство происходящим в домашних стенах. Когда вы захотите отметить с родными свои профессиональные успехи, то станет понятно, что члены вашей семьи эту радость не разделяют.
"
10.06.2013,Козерог,"
Козероги встретят необыкновенную личность, необычное происшествие, возможен непредсказуемый поворот судьбы. Есть вероятность получения специфических знаний, возможно, сверхъестественного характера, или участие в массовых мероприятиях, посвященных ранее незнакомым для вас явлениям.
"
11.06.2013,Козерог,"
Козероги ищут новые пути для самореализации. Предположительно, это смена места жительства, работы, или круга интересов. Успех обеспечен в том случае, если вы готовы к некоторой нестабильности и риску.
"
12.06.2013,Козерог,"
Время - деньги. Эта формула звучит постоянно, но именно она станет девизом Козерогов. Не растрачивайтесь на мелочи и избегайте посторонних поручений. Следуйте исключительно собственным путем.
"
13.06.2013,Козерог,"
Козерогам представится возможность утвердиться на поприще наставничества. В вашем опыте нуждаются близкие люди. Тем более высок успех, чем более ваша профессия связана с преподавательской деятельностью.
"
14.06.2013,Козерог,"
Козероги последуют некоторым условностям, что обеспечит стабильное, хоть и не сверхскоростное, движение вперед и гарантированный заработок. Личная жизнь не претерпит существенных изменений, особенно, если она временно отсутствует.
"
15.06.2013,Козерог,"
Ситуация Козерогов близка к стабильной. Это значит, что резких изменений, ни в лучшую, ни в худшую сторону, не предвидится. Кроме того все ближайшее время можно рассчитывать на определенное постоянство.
"
16.06.2013,Козерог,"
Козероги получат отличную возможность проверить свои знания. Вам предстоит освобождение от стереотипов, новые открытия, что повлечет изменение отношения к некоторым вещам.
"
17.06.2013,Козерог,"
Благоприятное окончание дня ожидает Козерогов. Это будет связано с благодарностью, комплиментом, или признанием ваших достижений авторитетными.
"
18.06.2013,Козерог,"
Козерогам улыбнется удача. Если вы давно ищите работу, то  у вас появится хороший шанс. Также время благоприятное для урегулирования взаимоотношений в семейном кругу, продуктивного отдыха и удачных покупок.
"
19.06.2013,Козерог,"
Для Козерогов благоприятной станет недолгая прогулка, выезд за город или на дачу. В рацион нужно добавить овощи, зелень, специи, попить целебные травы. 
"
20.06.2013,Козерог,"
Упорный труд принесет Козерогам соответствующие результаты. Будьте бдительны - есть опасность ухудшения здоровья и конфликтов на рабочем месте.
"
21.06.2013,Козерог,"
У Козерогов намечается мероприятие, связанное с приемом гостей. Подходящее время для того, чтобы привести жилище в порядок, вынести накопившийся за годы мусор и покормить изнуренных голодом домашних животных.
"
22.06.2013,Козерог,"
Козероги предпринимают активные попытки заработать. Вас разочаровывает текущий способ заработка, ищите способы нарастить материальную базу самостоятельно, хотя это и предполагает  высокий уровень ответственности.
"
23.06.2013,Козерог,"
Сегодня у Козерогов могут возникнуть осложнения в личной жизни. Кроме того, ваша целеустремленность не позволяет вам тоньше чувствовать близких людей - постарайтесь отложить на время заботы и провести вечер с любимым человеком.
"
24.06.2013,Козерог,"
Козероги проникнут в сферу чужих переживаний, возможно, вам предстоит стать невольным утешителем отчаявшихся. Для вас это может оказаться несколько неожиданным, или даже пугающим, но не теряйтесь - из любой ситуации есть выход.
"
25.06.2013,Козерог,"
Козероги во всем будут придерживаться консерватизма. Чем проще методы решения тех или иных задач, тем они надежнее.  новаторские идеи могут оказаться неэффективными.
"
26.06.2013,Козерог,"
 порадует Козерогов внезапно открывшимися перспективами. У вас появятся слушатели, сочувствующие, люди, которые будут стремиться вас понять. Не осложняйте им этой нелегкой участи.
"
